simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
208.3083,0.016666,6648.366,-409.3144,-0.5058938,66.22698,-179.7006,-8.388,6.604769,0,1,1,3969.549,3978.832,5.366993,9.350291,0.1021529,-0.1959083,-179.7006,2027.618,3,1,1
208.325,0.016666,6647.873,-409.3178,-0.505898,66.22136,-179.7053,-8.28,6.604769,0,1,1,3970.61,3979.818,5.360543,9.357099,0.1022587,-0.1978108,-179.7053,2027.356,3,1,1
208.3417,0.016666,6647.379,-409.3211,-0.5059022,66.2159,-179.7097,-8.099999,6.604769,0,1,1,3970.61,3979.818,5.360543,9.357099,0.1024414,-0.1996774,-179.7097,2025.386,3,1,1
208.3583,0.016666,6646.886,-409.3243,-0.5059063,66.21053,-179.714,-7.956,6.166771,0,1,1,3971.672,3980.805,5.353664,9.36363,0.1025902,-0.2014659,-179.714,2021.388,3,1,1
208.375,0.016666,6646.393,-409.3275,-0.5059105,66.20452,-179.7181,-7.776,6.166771,0,1,1,3971.672,3980.805,5.353664,9.36363,0.1026294,-0.2032337,-179.7181,2025.537,3,1,1
208.3917,0.016666,6645.9,-409.3306,-0.5059147,66.19852,-179.7222,-7.596,6.166771,0,1,1,3972.732,3981.791,5.346426,9.369919,0.1024958,-0.2049706,-179.7222,2023.992,3,1,1
208.4083,0.016666,6645.407,-409.3337,-0.5059189,66.19276,-179.7262,-7.416,6.166771,0,1,1,3972.732,3981.791,5.346426,9.369919,0.1020909,-0.2066116,-179.7262,2020.482,3,1,1
208.425,0.016666,6644.914,-409.3367,-0.5059228,66.18688,-179.7301,-7.236,6.166771,0,1,1,3973.793,3982.778,5.338905,9.375962,0.1013414,-0.2081499,-179.7301,2020.948,3,1,1
208.4417,0.016666,6644.42,-409.3396,-0.5059267,66.18098,-179.7341,-7.02,6.166771,0,1,1,3973.793,3982.778,5.338905,9.375962,0.1002098,-0.2095727,-179.7341,2021.018,3,1,1
208.4583,0.016666,6643.927,-409.3425,-0.5059305,66.17493,-179.738,-6.804,5.863539,0,1,1,3974.854,3983.764,5.331188,9.381763,0.09868036,-0.2108825,-179.738,2021.576,3,1,1
208.475,0.016666,6643.435,-409.3453,-0.5059342,66.1686,-179.742,-6.588,5.863539,0,1,1,3974.854,3983.764,5.331188,9.381763,0.09677792,-0.2121129,-179.742,2021.58,3,1,1
208.4917,0.016666,6642.941,-409.3481,-0.5059378,66.16246,-179.746,-6.336,5.863539,0,1,1,3975.914,3984.75,5.323367,9.387379,0.09452511,-0.2132225,-179.746,2020.348,3,1,1
208.5083,0.016666,6642.449,-409.3508,-0.5059413,66.15621,-179.75,-6.084,5.863539,0,1,1,3975.914,3984.75,5.323367,9.387379,0.09196007,-0.2142188,-179.75,2019.469,3,1,1
208.525,0.016666,6641.956,-409.3535,-0.5059447,66.14999,-179.7541,-5.832,5.863539,0,1,1,3976.974,3985.736,5.315532,9.392752,0.08914156,-0.2150851,-179.7541,2019.924,3,1,1
208.5417,0.016666,6641.463,-409.3561,-0.5059478,66.14376,-179.7582,-5.544,5.863539,0,1,1,3976.974,3985.736,5.315532,9.392752,0.08613777,-0.2158193,-179.7582,2019.897,3,1,1
208.5583,0.016666,6640.97,-409.3586,-0.5059506,66.13737,-179.7624,-5.292,5.459229,0,1,1,3978.034,3986.721,5.307778,9.397941,0.0830238,-0.2164352,-179.7624,2019.765,3,1,1
208.575,0.016666,6640.478,-409.3612,-0.5059533,66.1308,-179.7665,-4.968,5.459229,0,1,1,3978.034,3986.721,5.307778,9.397941,0.07988866,-0.2169643,-179.7665,2018.384,3,1,1
208.5917,0.016666,6639.985,-409.3636,-0.5059556,66.12416,-179.7707,-4.644,5.459229,0,1,1,3979.094,3987.707,5.30019,9.402947,0.0768001,-0.2174061,-179.7707,2017.806,3,1,1
208.6083,0.016666,6639.492,-409.3661,-0.5059578,66.11752,-179.7749,-4.32,5.459229,0,1,1,3979.094,3987.707,5.30019,9.402947,0.07381228,-0.2177577,-179.7749,2017.383,3,1,1
208.625,0.016666,6639,-409.3684,-0.5059599,66.11082,-179.7791,-4.032,5.459229,0,1,1,3980.154,3988.692,5.29285,9.40774,0.07096901,-0.2180261,-179.7791,2018.273,3,1,1
208.6416,0.016666,6638.507,-409.3708,-0.5059617,66.10416,-179.7832,-3.708,5.459229,0,1,1,3980.154,3988.692,5.29285,9.40774,0.06830113,-0.218204,-179.7832,2019.137,3,1,1
208.6583,0.016666,6638.015,-409.3731,-0.5059635,66.09729,-179.7873,-3.384,4.78538,0,1,1,3981.213,3989.677,5.285831,9.41238,0.06583118,-0.218322,-179.7873,2018.33,3,1,1
208.675,0.016666,6637.522,-409.3753,-0.5059654,66.09007,-179.7913,-3.096,4.78538,0,1,1,3981.213,3989.677,5.285831,9.41238,0.06358713,-0.2184415,-179.7913,2016.826,3,1,1
208.6917,0.016666,6637.03,-409.3776,-0.5059675,66.08276,-179.7952,-2.844,4.78538,0,1,1,3982.273,3990.662,5.279195,9.416867,0.06155995,-0.2185648,-179.7952,2017.428,3,1,1
208.7083,0.016666,6636.538,-409.3797,-0.5059698,66.0754,-179.799,-2.664,4.78538,0,1,1,3982.273,3990.662,5.279195,9.416867,0.05972021,-0.2187007,-179.799,2016.807,3,1,1
208.725,0.016666,6636.045,-409.3819,-0.5059724,66.06806,-179.8027,-2.484,4.78538,0,1,1,3983.332,3991.646,5.27299,9.421203,0.05802061,-0.2188409,-179.8027,2016.7,3,1,1
208.7417,0.016666,6635.553,-409.384,-0.5059752,66.06072,-179.8062,-2.34,4.78538,0,1,1,3983.332,3991.646,5.27299,9.421203,0.05641262,-0.2189837,-179.8062,2016.414,3,1,1
208.7583,0.016666,6635.061,-409.3861,-0.5059782,66.05324,-179.8096,-2.268,4.414762,0,1,1,3984.391,3992.631,5.267256,9.425385,0.05485117,-0.2191414,-179.8096,2016.365,3,1,1
208.775,0.016666,6634.569,-409.3881,-0.5059815,66.04557,-179.8127,-2.268,4.414762,0,1,1,3984.391,3992.631,5.267256,9.425385,0.05330733,-0.2193438,-179.8127,2015.819,3,1,1
208.7916,0.016666,6634.077,-409.3901,-0.505985,66.03786,-179.8156,-2.268,4.414762,0,1,1,3985.449,3993.615,5.262016,9.429415,0.05174655,-0.2195898,-179.8156,2015.483,3,1,1
208.8083,0.016666,6633.585,-409.3921,-0.5059885,66.03013,-179.8182,-2.268,4.414762,0,1,1,3985.449,3993.615,5.262016,9.429415,0.05013645,-0.2198734,-179.8182,2015.554,3,1,1
208.825,0.016666,6633.093,-409.394,-0.5059921,66.02241,-179.8206,-2.34,4.414762,0,1,1,3986.508,3994.598,5.257283,9.433353,0.04845716,-0.2201898,-179.8206,2015.267,3,1,1
208.8416,0.016666,6632.601,-409.396,-0.5059957,66.01468,-179.8228,-2.448,4.414762,0,1,1,3986.508,3994.598,5.257283,9.433353,0.04670136,-0.2205306,-179.8228,2015.618,3,1,1
208.8583,0.016666,6632.109,-409.3979,-0.5059992,66.00674,-179.8247,-2.52,3.707223,0,1,1,3987.566,3995.582,5.253057,9.437169,0.04487934,-0.2209131,-179.8247,2015.018,3,1,1
